,item_uuid,name,product_id,product_uuid,source
37,852f549b-85a2-4b34-b18d-091f93ed8227,Paleta buhito chica de chocolate,00000007501006432251,000462e3-a799-4e5f-84dc-488e5aa0fda0,sanborns
38,46a4a090-f560-4219-839c-1deb86c1d547,Zwan bienestar jamon de pavo,00000007501057710766,0004656b-075c-47a8-8b81-4b065b175711,la_comer
39,fcb39520-b9b8-40a3-9356-ed458e89a666,1001 Tequilero Grande 100Grs,00000002001626262603,00048b65-a97f-496a-9908-a70af004b05f,sanborns_online
40,fb7e213f-3f83-473d-aa50-54ea237443b0,mordedera plaza sesamo 74601 redonda,00000000750140477460,00049eec-fa38-4d6b-b399-b65c15f78080,chedraui
41,84c4bca5-160e-4610-9582-da7e2ed89f1d,adionador,00000000071249197684,0004d0db-eafc-4771-ac38-154978871a5c,fresko
42,None,Pulsera Fantasía con Cristales en Colores Varios 608,00000000000000014516,0004d6e8-45c1-476d-bae2-c37081825391,sanborns
43,c9d6ce50-7f4f-441d-8027-b85f73b74a3d,MUGASIN POLVO NARANJ 500 G x 1,00000007501277078059,0004db83-7c26-4509-b4ac-8c8653f68e61,ims
44,6f4dc75d-f74b-404a-ac24-a58a54e14f5b,pulparindo gigante,00000000725226001920,0004e197-f7ae-40fe-9690-84c072607d84,fresko
45,3b986441-c3a1-47cf-b217-ca9139d48923,"COZAAR 1 Caja,21 Comprimidos,12.5 mg",00000007501326002011,0004e5a0-c318-42bb-a373-85abcce1e935,plm
46,eb790b72-08a1-4e8c-bd64-406b150d4d56,PLEDGE RAID LUSTRADOR DE MUEBLES/INSECTICIDA  MADERAS/CASA Y JARDIN,00000007501032912727,0004eb2e-9515-44b3-ac1f-43ad5022036e,gs1
47,89215409-f06c-476e-86bf-658bbc54942e,Cesto Plasticos Y Mecanica 12.5 Cm Trian,00000000750135360240,00050f53-45a4-48f6-94e3-e57471d52152,chedraui
48,None,"Maquillaje Renova Mousse Varios 1 pz, Be",00000000000003349551,00051448-c174-45c5-a55d-b83acec1bdb2,chedraui
49,9f6c3b66-eb45-4fa2-b4ca-817825436e9a,PEDIASURE PLUS LQ.PLAS FRES 237ML x 1,00000007501033956331,00052004-11d7-45e9-8c5f-3925cd347802,ims
50,22a12d7f-1850-44f2-b866-48cbc64547bd,tinte permanente tono 70,00000007501078231134,000534d9-fbd2-4318-98ee-fdd81109ff77,city_market
51,None,CD Serie Del Recuerdo 2 En 1,00000000000000008133,00054b2f-edf0-40b0-8746-1c8bcadf50f8,sanborns
52,42c41c79-55fb-47b6-bcbd-a13b619c306e,Alimento para perro cachorro,00000007500093806501,00054d6e-aca2-4e41-ac56-c12f263c8323,comercial_mexicana
53,b9de80ae-1616-4a75-9cb8-93b1da9855fd,Mochila college up garden dreamer,00000005400552087590,000567d8-1f17-4866-91e8-f3986f7cffae,sanborns_online
54,cc3b077c-8273-4b1a-afef-626170a04341,paquete de 4 rines x avion de 17 pulgadas aw4847,00000001100000000240,000579b0-5832-425d-b9f4-04c467bdad6e,walmart_online
55,abb8d2fb-9cd6-42fe-b496-7e038efb9def,BABY DRY  PAÑAL DESECHABLE,00000017501028651811,00058ad2-eb8f-46ae-80ed-8d4d6ecdfeff,gs1
56,592d9e8e-a2e4-4e55-9192-72d4e9f54d8d,Mascara para pestanas rizaditas,00000007501611821501,00058d85-f49a-4043-889b-2a553f70e48e,comercial_mexicana
57,1925fc57-7b3a-4730-999e-7a276f7341c3,La Roche Posay Cosméticos clínico Toleriane maquillaje 13,00000003337872412318,000592fe-bec0-4afb-993f-319c1e3c8c94,san_pablo
58,6ebe6479-2c08-43a0-b373-0773a2a10162,SANTA ANITA PLATO 315973,00000007501190875803,0005afc9-896b-4869-9768-78fd5bdc4c14,gs1
59,None,Bebida Isotónica Powerade Surtido 1 Litr,00000000000003535642,0005b3fd-426c-4f19-8a9d-2abb8a9f8fa2,chedraui
60,7234c559-6a75-4797-b3ae-c37daac64e08,SPIN MASTER DIGIBIRDS JUGUETE PARA NIÑA 6026546,00000000778988131312,0005f0e2-c4d0-47bb-9da0-66cd168e7150,gs1
61,1239fc07-f8cd-4cb0-b53e-2b12bcb5e306,CALCETIN DIAB CANN CAB GRS AZM x 1,00000007501964528300,00064b8a-7744-4e1a-928a-8e9cde59fee5,ims
62,None,Juvenum Einyección 1 Pieza Caja,00000000000000690120,00068ab8-63ba-49a5-a726-e81fdd9e5d55,san_pablo
63,039b1616-8a54-459d-9e04-6b62bf278800,REMINGTON RASURADORA  AQ7,00000010074590527718,00069f39-1fcf-4e48-a0e8-c33a6ad5746c,gs1
64,ba7f8118-8333-49e2-87d2-fb65c8c55983,CLUB YOGHURT FRESABATIDO,00000007501020544039,0006c034-a724-4c05-82d8-9613c4130558,gs1
65,66f46d8a-75cf-4fb8-be4c-ccbfb437700d,PHOTODERM MAX CREMA40ML TCFPS100,00000000000000007518,0006dc1b-ef87-414f-b80f-1be46eb06443,farmasmart
66,29fa65ef-0247-45d1-8052-5783bab7c3e6,"ANZEMET Ampolleta(s),100 mg, ",00000007501165002036,00070cff-373b-4802-83e6-f59a11ea15bd,plm
67,3994cd23-2cd4-49ce-85da-f76d0ea014ef,DIETRIX PAPEL LUSTRE VERDE 50X70CM,00000007501015114032,00071ddf-9311-4de1-b4fa-d775a2740297,gs1
68,17917d75-9348-44cc-9a7f-5c3bc38ba094,Shampoo para cabello colorsilk,00000000309974234047,00071f25-c384-4503-8c88-49c17dc06c7b,city_market
69,b9922cf9-ba57-427c-8dd7-4cef5b428a79,polvo para preparar bebida limon,00000007506192503853,00072940-f393-4691-8d07-a9e77deb8c49,la_comer
70,8e8a8e9f-97d7-4bdc-8ef7-e24f3eae8b2f,Licor,00000008009265000062,00074dd9-9520-47f1-9aa5-f72085659876,farmasmart
71,cdc9768e-3d59-4573-b174-acd4c21521e0,ZACTOS 15 MG C/7 TAB.,00000000000000002314,00075559-6555-4677-b6d9-c97cc739905d,farmatodo
72,4e4af634-def0-4fe9-a96e-295d0e4b7de6,NESCAFE DOLCE GUSTO POLVO PARA PREPARAR BEBIDA LECHE Y CAFE EN CAPSULAS,00000007613034608529,00078b57-c4be-4e07-b0c2-6f31239267e4,gs1
73,5d566f8e-c9ee-4bc9-a921-06686af9cc2b,GUSSI ARTECINEMA METEORO LA SIGUEINTE GENERACION VOL 3 PELICULA DVD,00000007509996021950,00078efa-13a0-4aeb-b14f-e6ae7f653396,gs1
