,item_uuid,time,source,store_uuid,city,date,discount,lat,lng,price,price_original,promo,state,url,zip
12,677e056c-d351-4dbd-b42e-e4ae00a15afa,2018-05-15 01:02:28.066,chedraui,e02a5370-7b09-11e7-855a-0242ac110005,Álvaro Obregón,20180515,0.0,19.37339973449707,-99.16239929199219,66.0,66.0,,Distrito Federal,https://www.chedraui.com.mx/Departamentos/Vinos-y-Licores/Vinos/Vinos-Blancos/Chile/Vino-Blanco-Maipo-Sauvignon-Blanc-Ch-375/p/000000000003063513,
13,677e056c-d351-4dbd-b42e-e4ae00a15afa,2018-05-15 00:44:10.436,chedraui,e4eaed20-7b09-11e7-855a-0242ac110005,Azcapotzalco,20180515,0.0,19.523300170898438,-99.21279907226562,66.0,66.0,,Distrito Federal,https://www.chedraui.com.mx/Departamentos/Vinos-y-Licores/Vinos/Vinos-Blancos/Chile/Vino-Blanco-Maipo-Sauvignon-Blanc-Ch-375/p/000000000003063513,
14,677e056c-d351-4dbd-b42e-e4ae00a15afa,2018-05-15 00:42:44.672,chedraui,c7f3046e-7b09-11e7-855a-0242ac110005,Tuxtla Gutiérrez,20180515,0.0,16.77050018310547,-93.11160278320312,66.0,66.0,,Chiapas,https://www.chedraui.com.mx/Departamentos/Vinos-y-Licores/Vinos/Vinos-Blancos/Chile/Vino-Blanco-Maipo-Sauvignon-Blanc-Ch-375/p/000000000003063513,
15,677e056c-d351-4dbd-b42e-e4ae00a15afa,2018-05-15 00:26:45.375,chedraui,e0857624-7b09-11e7-855a-0242ac110005,Álvaro Obregón,20180515,0.0,19.359399795532227,-99.29340362548828,66.0,66.0,,Distrito Federal,https://www.chedraui.com.mx/Departamentos/Vinos-y-Licores/Vinos/Vinos-Blancos/Chile/Vino-Blanco-Maipo-Sauvignon-Blanc-Ch-375/p/000000000003063513,
16,677e056c-d351-4dbd-b42e-e4ae00a15afa,2018-05-15 00:19:17.263,chedraui,c03a0200-7b08-11e7-855a-0242ac110005,Carmen,20180515,0.0,18.64240074157715,-91.82129669189453,66.0,66.0,,Campeche,https://www.chedraui.com.mx/Departamentos/Vinos-y-Licores/Vinos/Vinos-Blancos/Chile/Vino-Blanco-Maipo-Sauvignon-Blanc-Ch-375/p/000000000003063513,
17,677e056c-d351-4dbd-b42e-e4ae00a15afa,2018-05-15 00:08:11.320,chedraui,e06ed1bc-7b09-11e7-855a-0242ac110005,Álvaro Obregón,20180515,0.0,19.336200714111328,-99.15840148925781,66.0,66.0,,Distrito Federal,https://www.chedraui.com.mx/Departamentos/Vinos-y-Licores/Vinos/Vinos-Blancos/Chile/Vino-Blanco-Maipo-Sauvignon-Blanc-Ch-375/p/000000000003063513,
18,677e056c-d351-4dbd-b42e-e4ae00a15afa,2018-05-15 00:04:04.772,chedraui,dfd2a882-7b09-11e7-855a-0242ac110005,Álvaro Obregón,20180515,0.0,19.36870002746582,-99.2582015991211,66.0,66.0,,Distrito Federal,https://www.chedraui.com.mx/Departamentos/Vinos-y-Licores/Vinos/Vinos-Blancos/Chile/Vino-Blanco-Maipo-Sauvignon-Blanc-Ch-375/p/000000000003063513,
19,162e6787-ddd5-48fb-a759-68cda8daa6f0,2018-05-15 23:28:41.419,chedraui,ed8b9f24-7b09-11e7-855a-0242ac110005,Cuajimalpa de Morelos,20180515,0.0,19.665599822998047,-99.01809692382812,370.0,370.0,,Distrito Federal,https://www.chedraui.com.mx/Departamentos/Farmacia/Medicamentos-de-Patente/Zestoretic-20-Mg-Tab-C14-4/p/000000000003040981,
20,162e6787-ddd5-48fb-a759-68cda8daa6f0,2018-05-15 23:28:02.348,chedraui,07a65bf6-7b0a-11e7-855a-0242ac110005,Tláhuac,20180515,0.0,19.257400512695312,-99.02230072021484,370.0,370.0,,Distrito Federal,https://www.chedraui.com.mx/Departamentos/Farmacia/Medicamentos-de-Patente/Zestoretic-20-Mg-Tab-C14-4/p/000000000003040981,
21,162e6787-ddd5-48fb-a759-68cda8daa6f0,2018-05-15 23:15:50.375,chedraui,e4eaed20-7b09-11e7-855a-0242ac110005,Azcapotzalco,20180515,0.0,19.523300170898438,-99.21279907226562,370.0,370.0,,Distrito Federal,https://www.chedraui.com.mx/Departamentos/Farmacia/Medicamentos-de-Patente/Zestoretic-20-Mg-Tab-C14-4/p/000000000003040981,
